ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,1,move,3,1000,2,,138 | AIM13_01 | PT01.01 | Tank 22.00 Vent pressure,2,"""COMM_WRK"".IO.PT01_01.smth",1,PT01_01
,,1,move,3,1000,2,,139 | AIM13_02 | PT01.03 | Sample Purge Pressure,2,"""COMM_WRK"".IO.PT01_03.smth",1,PT01_03
,,1,move,3,1000,2,,140 | AIM13_03 | PT01.04 | Purge Manifold Pressure,2,"""COMM_WRK"".IO.PT01_04.smth",1,PT01_04
,,1,move,3,1000,2,,141 | AIM13_04 | PT04.01 | Waste Pump 50.00 CDA Pressure,2,"""COMM_WRK"".IO.PT04_01.smth",1,PT04_01
,,1,move,3,1000,2,,142 | AIM13_05 | PT04.04 | Pump 21.00 Low Speed Pressure,2,"""COMM_WRK"".IO.PT04_04.smth",1,PT04_04
,,1,move,3,1000,2,,143 | AIM13_06 | PT04.03 | Pump 21.00 High Speed Pressure,2,"""COMM_WRK"".IO.PT04_03.smth",1,PT04_03
,,1,move,3,1000,2,,144 | AIM13_07 | PT04.02 | Waste Pump 50.01 CDA Pressure,2,"""COMM_WRK"".IO.PT04_02.smth",1,PT04_02
,,1,move,3,1000,2,,145 | AOM14_00 | PY40.00 | Chem 1 Pressure Control,2,"""COMM_WRK"".IO.PY40_00.out",1,PY40_00
,,1,move,3,1000,2,,146 | AOM14_01 |  | SPARE,2,"""COMM_WRK"".IO.AOM14_01.out",1,AOM14_01
,,1,move,3,1000,2,,147 | AOM14_02 |  | SPARE,2,"""COMM_WRK"".IO.AOM14_02.out",1,AOM14_02
,,1,move,3,1000,2,,148 | AOM14_03 |   | SPARE,2,"""COMM_WRK"".IO.AOM14_03.out",1,AOM14_03
,,,,,,,,,,,,
ctrl+r_1,F9_1,shift+f7_1,shift+tab_1,ctrl+a_1,text_1,tab_1,text_2,tab_2,text_3,,,
,,,3,,149 | SOL16_00 | FV04.01 | Waste Pump 50.00 CDA,2,"""COMM_WRK"".IO.FVY04_01.io.sts",1,FVY04_01,,,
,,,3,,150 | SOL16_01 | FV04.02 | Waste Pump 50.01 CDA,2,"""COMM_WRK"".IO.FVY04_02.io.sts",1,FVY04_02,,,
,,,3,,151 | SOL16_02 | FV50.10 | Waste Pump 50.00 Inlet,2,"""COMM_WRK"".IO.FVY50_10.io.sts",1,FVY50_10,,,
,,,3,,152 | SOL16_03 | FV50.06 | Waste Pump 50.01 Inlet,2,"""COMM_WRK"".IO.FVY50_06.io.sts",1,FVY50_06,,,
,,,3,,153 | SOL16_04 | FV50.12 | Waste Pump 50.00 Outlet,2,"""COMM_WRK"".IO.FVY50_12.io.sts",1,FVY50_12,,,
,,,3,,154 | SOL16_05 | FV50.08 | Waste Pump 50.01 Outlet,2,"""COMM_WRK"".IO.FVY50_08.io.sts",1,FVY50_08,,,
,,,3,,155 | SOL16_06 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_06.io.sts",1,SOL16_06,,,
,,,3,,156 | SOL16_07 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_07.io.sts",1,SOL16_07,,,
,,,3,,157 | SOL16_08 | FV50.00 | Common Floor Drain,2,"""COMM_WRK"".IO.FVY50_00.io.sts",1,FVY50_00,,,
,,,3,,158 | SOL16_09 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_09.io.sts",1,SOL16_09,,,
,,,3,,159 | SOL16_10 | FV51.00 | Engine 1 Floor Drain,2,"""COMM_WRK"".IO.FVY51_00.io.sts",1,FVY51_00,,,
,,,3,,160 | SOL16_11 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_11.io.sts",1,SOL16_11,,,
,,,3,,161 | SOL16_12 | FV50.04 | Waste Vessel Drain,2,"""COMM_WRK"".IO.FVY50_04.io.sts",1,FVY50_04,,,
,,,3,,162 | SOL16_13 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_13.io.sts",1,SOL16_13,,,
,,,3,,163 | SOL16_14 |  | SPARE,2,"""COMM_WRK"".IO.SOL16_14.io.sts",1,SOL16_14,,,
,,,3,,164 | SOL16_15 | FV86.00 | Waste Dilution,2,"""COMM_WRK"".IO.FVY86_00.io.sts",1,FVY86_00,,,
,,,3,,165 | SOL17_00 | FV40.00 | Chem Loop Inlet,2,"""COMM_WRK"".IO.FVY40_00.io.sts",1,FVY40_00,,,
,,,3,,166 | SOL17_01 | FV50.05 | Waste Pump 50.01 Purge Inlet,2,"""COMM_WRK"".IO.FVY50_05.io.sts",1,FVY50_05,,,
,,,3,,167 | SOL17_02 | FV50.02 | Waste Pump 50.00 Purge Inlet,2,"""COMM_WRK"".IO.FVY50_02.io.sts",1,FVY50_02,,,
,,,3,,168 | SOL17_03 | FV50.01 | Indirect Vent Drain,2,"""COMM_WRK"".IO.FVY50_01.io.sts",1,FVY50_01,,,
,,,3,,169 | SOL17_04 | FV80.01 | Indirect Vent UPW Supply,2,"""COMM_WRK"".IO.FVY80_01.io.sts",1,FVY80_01,,,
,,,3,,170 | SOL17_05 | FV80.00 | UPW Flush,2,"""COMM_WRK"".IO.FVY80_00.io.sts",1,FVY80_00,,,
,,,3,,171 | SOL17_06 |  | SPARE,2,"""COMM_WRK"".IO.SOL17_06.io.sts",1,SOL17_06,,,
,,,3,,172 | SOL17_07 | FV50.03 | Particle Counter Drain,2,"""COMM_WRK"".IO.FVY50_03.io.sts",1,FVY50_03,,,
,,,3,,173 | SOL17_08 | FV60.00 | Chem 1 Particle Counter Supply,2,"""COMM_WRK"".IO.FVY60_00.io.sts",1,FVY60_00,,,
,,,3,,174 | SOL17_09 | FV60.02 | Particle Counter Flush/Purge,2,"""COMM_WRK"".IO.FVY60_02.io.sts",1,FVY60_02,,,
,,,3,,175 | SOL17_10 | FV60.03 | Particle Counter Return to Tank 21.00,2,"""COMM_WRK"".IO.FVY60_03.io.sts",1,FVY60_03,,,
,,,3,,176 | SOL17_11 | FV60.04 | Particle Counter Return to Tank 22.00,2,"""COMM_WRK"".IO.FVY60_04.io.sts",1,FVY60_04,,,
,,,3,,177 | SOL17_12 |  | SPARE,2,"""COMM_WRK"".IO.SOL17_12.io.sts",1,SOL17_12,,,
,,,3,,178 | SOL17_13 |  | SPARE,2,"""COMM_WRK"".IO.SOL17_13.io.sts",1,SOL17_13,,,
,,,3,,179 | SOL17_14 | FV01.04 | N2 Purge,2,"""COMM_WRK"".IO.FVY01_04.io.sts",1,FVY01_04,,,
,,,3,,180 | SOL17_15 | FV70.00 | Sample Flush/Purge,2,"""COMM_WRK"".IO.FVY70_00.io.sts",1,FVY70_00,,,
,,,3,,181 | SOL18_00 |  | SPARE,2,"""COMM_WRK"".IO.FVY04_01.io.sts",1,SOL18_00,,,
,,,3,,182 | SOL18_01 |  | SPARE,2,"""COMM_WRK"".IO.FVY04_02.io.sts",1,SOL18_01,,,
,,,3,,183 | SOL18_02 |  | SPARE,2,"""COMM_WRK"".IO.FVY50_10.io.sts",1,SOL18_02,,,
,,,3,,184 | SOL18_03 |  | SPARE,2,"""COMM_WRK"".IO.FVY50_06.io.sts",1,SOL18_03,,,
,,,3,,185 | SOL18_04 |  | SPARE,2,"""COMM_WRK"".IO.FVY50_12.io.sts",1,SOL18_04,,,
,,,3,,186 | SOL18_05 |  | SPARE,2,"""COMM_WRK"".IO.FVY50_08.io.sts",1,SOL18_05,,,
